name;nodes;edges;edge_percentage;algorithm;k;independent_k;result;solution;elapsed_time
graph_6_0.75.gml;6;11;0.75;greedy_v1;0.5;3;False;-1;0.0
graph_6_0.75.gml;6;11;0.75;greedy_v1;0.75;4;False;-1;0.0
graph_6_0.125.gml;6;1;0.125;greedy_v1;0.125;0;True;-1;0.0
graph_6_0.125.gml;6;1;0.125;greedy_v1;0.25;1;True;(100, 6);0.0
graph_6_0.125.gml;6;1;0.125;greedy_v1;0.5;3;True;(63, 50):(30, 2):(100, 6);0.0
graph_6_0.125.gml;6;1;0.125;greedy_v1;0.75;4;True;(63, 50):(30, 2):(51, 100):(100, 6);0.0
graph_7_0.5.gml;7;10;0.5;greedy_v1;0.125;0;True;-1;0.0
graph_7_0.5.gml;7;10;0.5;greedy_v1;0.25;1;True;(11, 68);0.0
graph_7_0.5.gml;7;10;0.5;greedy_v1;0.5;3;True;(11, 68):(99, 95):(100, 6);0.0
graph_7_0.5.gml;7;10;0.5;greedy_v1;0.75;5;False;-1;0.0
graph_7_0.25.gml;7;5;0.25;greedy_v1;0.125;0;True;-1;0.0
graph_7_0.25.gml;7;5;0.25;greedy_v1;0.25;1;True;(11, 68);0.0
graph_7_0.25.gml;7;5;0.25;greedy_v1;0.5;3;True;(11, 68):(99, 95):(100, 6);0.0
graph_7_0.25.gml;7;5;0.25;greedy_v1;0.75;5;False;-1;0.001001119613647461
graph_7_0.75.gml;7;15;0.75;greedy_v1;0.125;0;True;-1;0.0
graph_7_0.75.gml;7;15;0.75;greedy_v1;0.25;1;True;(11, 68);0.0
graph_7_0.75.gml;7;15;0.75;greedy_v1;0.5;3;False;-1;0.0
graph_7_0.75.gml;7;15;0.75;greedy_v1;0.75;5;False;-1;0.0
graph_7_0.125.gml;7;2;0.125;greedy_v1;0.125;0;True;-1;0.0
graph_7_0.125.gml;7;2;0.125;greedy_v1;0.25;1;True;(11, 68);0.0
graph_7_0.125.gml;7;2;0.125;greedy_v1;0.5;3;True;(11, 68):(99, 95):(51, 100);0.0
graph_7_0.125.gml;7;2;0.125;greedy_v1;0.75;5;False;-1;0.0
graph_8_0.5.gml;8;14;0.5;greedy_v1;0.125;1;True;(51, 100);0.0
graph_8_0.5.gml;8;14;0.5;greedy_v1;0.25;2;True;(1, 29):(51, 100);0.0
graph_8_0.5.gml;8;14;0.5;greedy_v1;0.5;4;False;-1;0.0
graph_8_0.5.gml;8;14;0.5;greedy_v1;0.75;6;False;-1;0.0
graph_8_0.25.gml;8;7;0.25;greedy_v1;0.125;1;True;(51, 100);0.0
graph_8_0.25.gml;8;7;0.25;greedy_v1;0.25;2;True;(11, 68):(51, 100);0.0
graph_8_0.25.gml;8;7;0.25;greedy_v1;0.5;4;True;(11, 68):(1, 29):(51, 100):(100, 6);0.0
graph_8_0.25.gml;8;7;0.25;greedy_v1;0.75;6;False;-1;0.0
graph_8_0.75.gml;8;21;0.75;greedy_v1;0.125;1;True;(99, 95);0.0
graph_8_0.75.gml;8;21;0.75;greedy_v1;0.25;2;True;(99, 95):(1, 29);0.0
graph_8_0.75.gml;8;21;0.75;greedy_v1;0.5;4;False;-1;0.0009999275207519531
graph_8_0.75.gml;8;21;0.75;greedy_v1;0.75;6;False;-1;0.0
graph_8_0.125.gml;8;3;0.125;greedy_v1;0.125;1;True;(11, 68);0.0
graph_8_0.125.gml;8;3;0.125;greedy_v1;0.25;2;True;(11, 68):(99, 95);0.0
graph_8_0.125.gml;8;3;0.125;greedy_v1;0.5;4;True;(11, 68):(99, 95):(51, 100):(30, 2);0.0
graph_8_0.125.gml;8;3;0.125;greedy_v1;0.75;6;False;-1;0.0
graph_9_0.5.gml;9;18;0.5;greedy_v1;0.125;1;True;(100, 6);0.0
graph_9_0.5.gml;9;18;0.5;greedy_v1;0.25;2;True;(64, 8):(100, 6);0.0
graph_9_0.5.gml;9;18;0.5;greedy_v1;0.5;4;False;-1;0.00099945068359375
graph_9_0.5.gml;9;18;0.5;greedy_v1;0.75;6;False;-1;0.0
graph_9_0.25.gml;9;9;0.25;greedy_v1;0.125;1;True;(99, 95);0.0
graph_9_0.25.gml;9;9;0.25;greedy_v1;0.25;2;True;(99, 95):(100, 6);0.0
graph_9_0.25.gml;9;9;0.25;greedy_v1;0.5;4;True;(99, 95):(99, 58):(100, 6):(30, 2);0.0
graph_9_0.25.gml;9;9;0.25;greedy_v1;0.75;6;False;-1;0.0
graph_9_0.75.gml;9;27;0.75;greedy_v1;0.125;1;True;(100, 6);0.0
graph_9_0.75.gml;9;27;0.75;greedy_v1;0.25;2;True;(99, 58):(100, 6);0.0
graph_9_0.75.gml;9;27;0.75;greedy_v1;0.5;4;False;-1;0.0
graph_9_0.75.gml;9;27;0.75;greedy_v1;0.75;6;False;-1;0.0
graph_9_0.125.gml;9;4;0.125;greedy_v1;0.125;1;True;(99, 95);0.0
graph_9_0.125.gml;9;4;0.125;greedy_v1;0.25;2;True;(99, 95):(99, 58);0.0
graph_9_0.125.gml;9;4;0.125;greedy_v1;0.5;4;True;(99, 95):(1, 29):(99, 58):(100, 6);0.0
graph_9_0.125.gml;9;4;0.125;greedy_v1;0.75;6;False;-1;0.0
graph_10_0.5.gml;10;22;0.5;greedy_v1;0.125;1;True;(64, 8);0.0
graph_10_0.5.gml;10;22;0.5;greedy_v1;0.25;2;True;(99, 95):(64, 8);0.0
graph_10_0.5.gml;10;22;0.5;greedy_v1;0.5;5;False;-1;0.0
graph_10_0.5.gml;10;22;0.5;greedy_v1;0.75;7;False;-1;0.0
graph_10_0.25.gml;10;11;0.25;greedy_v1;0.125;1;True;(99, 95);0.0
graph_10_0.25.gml;10;11;0.25;greedy_v1;0.25;2;True;(63, 50):(99, 95);0.0
graph_10_0.25.gml;10;11;0.25;greedy_v1;0.5;5;False;-1;0.0
graph_10_0.25.gml;10;11;0.25;greedy_v1;0.75;7;False;-1;0.0
graph_10_0.75.gml;10;33;0.75;greedy_v1;0.125;1;True;(64, 8);0.0
graph_10_0.75.gml;10;33;0.75;greedy_v1;0.25;2;False;-1;0.0
graph_10_0.75.gml;10;33;0.75;greedy_v1;0.5;5;False;-1;0.0
graph_10_0.75.gml;10;33;0.75;greedy_v1;0.75;7;False;-1;0.0
graph_10_0.125.gml;10;5;0.125;greedy_v1;0.125;1;True;(100, 6);0.0
graph_10_0.125.gml;10;5;0.125;greedy_v1;0.25;2;True;(99, 95):(100, 6);0.0
graph_10_0.125.gml;10;5;0.125;greedy_v1;0.5;5;True;(99, 58):(1, 29):(100, 6):(63, 50):(99, 95);0.0
graph_10_0.125.gml;10;5;0.125;greedy_v1;0.75;7;False;-1;0.0
graph_11_0.5.gml;11;27;0.5;greedy_v1;0.125;1;True;(63, 50);0.0
graph_11_0.5.gml;11;27;0.5;greedy_v1;0.25;2;True;(63, 50):(33, 37);0.0
graph_11_0.5.gml;11;27;0.5;greedy_v1;0.5;5;False;-1;0.0
graph_11_0.5.gml;11;27;0.5;greedy_v1;0.75;8;False;-1;0.0
graph_11_0.25.gml;11;13;0.25;greedy_v1;0.125;1;True;(30, 2);0.0
graph_11_0.25.gml;11;13;0.25;greedy_v1;0.25;2;True;(30, 2):(1, 29);0.0
graph_11_0.25.gml;11;13;0.25;greedy_v1;0.5;5;True;(11, 68):(1, 29):(1, 100):(99, 95):(30, 2);0.0
graph_11_0.25.gml;11;13;0.25;greedy_v1;0.75;8;False;-1;0.0
graph_11_0.75.gml;11;41;0.75;greedy_v1;0.125;1;True;(63, 50);0.0
graph_11_0.75.gml;11;41;0.75;greedy_v1;0.25;2;True;(63, 50):(100, 6);0.0
graph_11_0.75.gml;11;41;0.75;greedy_v1;0.5;5;False;-1;0.0
graph_11_0.75.gml;11;41;0.75;greedy_v1;0.75;8;False;-1;0.0
graph_11_0.125.gml;11;6;0.125;greedy_v1;0.125;1;True;(30, 2);0.00099945068359375
graph_11_0.125.gml;11;6;0.125;greedy_v1;0.25;2;True;(63, 50):(30, 2);0.0
graph_11_0.125.gml;11;6;0.125;greedy_v1;0.5;5;True;(99, 95):(63, 50):(51, 100):(1, 100):(30, 2);0.0
graph_11_0.125.gml;11;6;0.125;greedy_v1;0.75;8;False;-1;0.0
graph_12_0.5.gml;12;33;0.5;greedy_v1;0.125;1;True;(99, 58);0.0
graph_12_0.5.gml;12;33;0.5;greedy_v1;0.25;3;True;(99, 95):(51, 100):(99, 58);0.0
graph_12_0.5.gml;12;33;0.5;greedy_v1;0.5;6;False;-1;0.0
graph_12_0.5.gml;12;33;0.5;greedy_v1;0.75;9;False;-1;0.0
graph_12_0.25.gml;12;16;0.25;greedy_v1;0.125;1;True;(11, 68);0.0
graph_12_0.25.gml;12;16;0.25;greedy_v1;0.25;3;True;(11, 68):(1, 29):(99, 58);0.0
graph_12_0.25.gml;12;16;0.25;greedy_v1;0.5;6;True;(11, 68):(99, 95):(99, 58):(33, 37):(1, 29):(30, 2);0.0
graph_12_0.25.gml;12;16;0.25;greedy_v1;0.75;9;False;-1;0.0
graph_12_0.75.gml;12;49;0.75;greedy_v1;0.125;1;True;(30, 2);0.0
graph_12_0.75.gml;12;49;0.75;greedy_v1;0.25;3;False;-1;0.0
graph_12_0.75.gml;12;49;0.75;greedy_v1;0.5;6;False;-1;0.0
graph_12_0.75.gml;12;49;0.75;greedy_v1;0.75;9;False;-1;0.0
graph_12_0.125.gml;12;8;0.125;greedy_v1;0.125;1;True;(99, 95);0.0
graph_12_0.125.gml;12;8;0.125;greedy_v1;0.25;3;True;(11, 68):(99, 95):(51, 100);0.0
graph_12_0.125.gml;12;8;0.125;greedy_v1;0.5;6;True;(11, 68):(1, 29):(100, 6):(51, 100):(1, 100):(99, 95);0.0
graph_12_0.125.gml;12;8;0.125;greedy_v1;0.75;9;False;-1;0.0
graph_13_0.5.gml;13;39;0.5;greedy_v1;0.125;1;True;(63, 50);0.0010004043579101562
graph_13_0.5.gml;13;39;0.5;greedy_v1;0.25;3;True;(63, 50):(33, 37):(1, 100);0.0
graph_13_0.5.gml;13;39;0.5;greedy_v1;0.5;6;False;-1;0.0
graph_13_0.5.gml;13;39;0.5;greedy_v1;0.75;9;False;-1;0.0
graph_13_0.25.gml;13;19;0.25;greedy_v1;0.125;1;True;(51, 100);0.0
graph_13_0.25.gml;13;19;0.25;greedy_v1;0.25;3;True;(63, 50):(30, 2):(51, 100);0.0009999275207519531
graph_13_0.25.gml;13;19;0.25;greedy_v1;0.5;6;False;-1;0.0
graph_13_0.25.gml;13;19;0.25;greedy_v1;0.75;9;False;-1;0.0
graph_13_0.75.gml;13;58;0.75;greedy_v1;0.125;1;True;(33, 37);0.0
graph_13_0.75.gml;13;58;0.75;greedy_v1;0.25;3;False;-1;0.0
graph_13_0.75.gml;13;58;0.75;greedy_v1;0.5;6;False;-1;0.0
graph_13_0.75.gml;13;58;0.75;greedy_v1;0.75;9;False;-1;0.0
graph_13_0.125.gml;13;9;0.125;greedy_v1;0.125;1;True;(1, 29);0.0
graph_13_0.125.gml;13;9;0.125;greedy_v1;0.25;3;True;(11, 68):(1, 29):(33, 37);0.0009999275207519531
graph_13_0.125.gml;13;9;0.125;greedy_v1;0.5;6;True;(11, 68):(99, 95):(33, 37):(1, 29):(64, 8):(30, 2);0.0
graph_13_0.125.gml;13;9;0.125;greedy_v1;0.75;9;False;-1;0.0
graph_14_0.5.gml;14;45;0.5;greedy_v1;0.125;1;True;(64, 8);0.0
graph_14_0.5.gml;14;45;0.5;greedy_v1;0.25;3;True;(30, 2):(84, 31):(64, 8);0.0
graph_14_0.5.gml;14;45;0.5;greedy_v1;0.5;7;False;-1;0.0
graph_14_0.5.gml;14;45;0.5;greedy_v1;0.75;10;False;-1;0.0
graph_14_0.25.gml;14;22;0.25;greedy_v1;0.125;1;True;(100, 6);0.0
graph_14_0.25.gml;14;22;0.25;greedy_v1;0.25;3;True;(99, 95):(100, 6):(30, 2);0.0
graph_14_0.25.gml;14;22;0.25;greedy_v1;0.5;7;False;-1;0.0
graph_14_0.25.gml;14;22;0.25;greedy_v1;0.75;10;False;-1;0.0
graph_14_0.75.gml;14;68;0.75;greedy_v1;0.125;1;True;(100, 6);0.0
graph_14_0.75.gml;14;68;0.75;greedy_v1;0.25;3;False;-1;0.0
graph_14_0.75.gml;14;68;0.75;greedy_v1;0.5;7;False;-1;0.0009999275207519531
graph_14_0.75.gml;14;68;0.75;greedy_v1;0.75;10;False;-1;0.0
graph_14_0.125.gml;14;11;0.125;greedy_v1;0.125;1;True;(100, 6);0.0
graph_14_0.125.gml;14;11;0.125;greedy_v1;0.25;3;True;(1, 29):(64, 8):(100, 6);0.0
graph_14_0.125.gml;14;11;0.125;greedy_v1;0.5;7;True;(11, 68):(41, 72):(1, 29):(100, 6):(99, 95):(64, 8):(30, 2);0.0
graph_14_0.125.gml;14;11;0.125;greedy_v1;0.75;10;False;-1;0.0
graph_15_0.5.gml;15;52;0.5;greedy_v1;0.125;1;True;(64, 8);0.0
graph_15_0.5.gml;15;52;0.5;greedy_v1;0.25;3;True;(11, 68):(41, 72):(64, 8);0.0
graph_15_0.5.gml;15;52;0.5;greedy_v1;0.5;7;False;-1;0.0
graph_15_0.5.gml;15;52;0.5;greedy_v1;0.75;11;False;-1;0.0
graph_15_0.25.gml;15;26;0.25;greedy_v1;0.125;1;True;(30, 2);0.0
graph_15_0.25.gml;15;26;0.25;greedy_v1;0.25;3;True;(11, 68):(30, 2):(72, 79);0.0
graph_15_0.25.gml;15;26;0.25;greedy_v1;0.5;7;False;-1;0.0010004043579101562
graph_15_0.25.gml;15;26;0.25;greedy_v1;0.75;11;False;-1;0.0
graph_15_0.75.gml;15;78;0.75;greedy_v1;0.125;1;True;(51, 100);0.0
graph_15_0.75.gml;15;78;0.75;greedy_v1;0.25;3;False;-1;0.0
graph_15_0.75.gml;15;78;0.75;greedy_v1;0.5;7;False;-1;0.0
graph_15_0.75.gml;15;78;0.75;greedy_v1;0.75;11;False;-1;0.0
graph_15_0.125.gml;15;13;0.125;greedy_v1;0.125;1;True;(99, 95);0.0
graph_15_0.125.gml;15;13;0.125;greedy_v1;0.25;3;True;(99, 95):(72, 79):(30, 2);0.0
graph_15_0.125.gml;15;13;0.125;greedy_v1;0.5;7;True;(11, 68):(72, 79):(41, 72):(1, 29):(51, 100):(99, 95):(30, 2);0.0
graph_15_0.125.gml;15;13;0.125;greedy_v1;0.75;11;False;-1;0.0
graph_16_0.5.gml;16;60;0.5;greedy_v1;0.125;2;True;(99, 95):(33, 37);0.0
graph_16_0.5.gml;16;60;0.5;greedy_v1;0.25;4;False;-1;0.0
graph_16_0.5.gml;16;60;0.5;greedy_v1;0.5;8;False;-1;0.0
graph_16_0.5.gml;16;60;0.5;greedy_v1;0.75;12;False;-1;0.0
graph_16_0.25.gml;16;30;0.25;greedy_v1;0.125;2;True;(30, 2):(84, 31);0.0
graph_16_0.25.gml;16;30;0.25;greedy_v1;0.25;4;True;(11, 68):(30, 2):(84, 31):(100, 6);0.0
graph_16_0.25.gml;16;30;0.25;greedy_v1;0.5;8;False;-1;0.0
graph_16_0.25.gml;16;30;0.25;greedy_v1;0.75;12;False;-1;0.0009999275207519531
graph_16_0.75.gml;16;90;0.75;greedy_v1;0.125;2;True;(30, 2):(84, 31);0.0
graph_16_0.75.gml;16;90;0.75;greedy_v1;0.25;4;False;-1;0.0
graph_16_0.75.gml;16;90;0.75;greedy_v1;0.5;8;False;-1;0.0
graph_16_0.75.gml;16;90;0.75;greedy_v1;0.75;12;False;-1;0.0
graph_16_0.125.gml;16;15;0.125;greedy_v1;0.125;2;True;(99, 95):(99, 58);0.0
graph_16_0.125.gml;16;15;0.125;greedy_v1;0.25;4;True;(11, 68):(99, 95):(99, 58):(30, 2);0.0
graph_16_0.125.gml;16;15;0.125;greedy_v1;0.5;8;True;(11, 68):(99, 58):(1, 29):(100, 6):(99, 95):(84, 31):(64, 8):(30, 2);0.0
graph_16_0.125.gml;16;15;0.125;greedy_v1;0.75;12;False;-1;0.0
graph_17_0.5.gml;17;68;0.5;greedy_v1;0.125;2;True;(63, 50):(84, 31);0.0
graph_17_0.5.gml;17;68;0.5;greedy_v1;0.25;4;True;(63, 50):(30, 2):(84, 31):(3, 1);0.0
graph_17_0.5.gml;17;68;0.5;greedy_v1;0.5;8;False;-1;0.0
graph_17_0.5.gml;17;68;0.5;greedy_v1;0.75;12;False;-1;0.0
graph_17_0.25.gml;17;34;0.25;greedy_v1;0.125;2;True;(63, 50):(64, 8);0.0009963512420654297
graph_17_0.25.gml;17;34;0.25;greedy_v1;0.25;4;True;(63, 50):(99, 95):(84, 31):(64, 8);0.0
graph_17_0.25.gml;17;34;0.25;greedy_v1;0.5;8;True;(27, 93):(3, 1):(63, 50):(51, 100):(1, 100):(99, 95):(84, 31):(64, 8);0.0
graph_17_0.25.gml;17;34;0.25;greedy_v1;0.75;12;False;-1;0.00099945068359375
graph_17_0.75.gml;17;102;0.75;greedy_v1;0.125;2;True;(3, 1):(72, 79);0.0
graph_17_0.75.gml;17;102;0.75;greedy_v1;0.25;4;False;-1;0.0
graph_17_0.75.gml;17;102;0.75;greedy_v1;0.5;8;False;-1;0.0
graph_17_0.75.gml;17;102;0.75;greedy_v1;0.75;12;False;-1;0.0
graph_17_0.125.gml;17;17;0.125;greedy_v1;0.125;2;True;(27, 93):(41, 72);0.0
graph_17_0.125.gml;17;17;0.125;greedy_v1;0.25;4;True;(99, 95):(27, 93):(41, 72):(30, 2);0.0
graph_17_0.125.gml;17;17;0.125;greedy_v1;0.5;8;True;(27, 93):(72, 79):(41, 72):(63, 50):(51, 100):(1, 100):(99, 95):(30, 2);0.0
graph_17_0.125.gml;17;17;0.125;greedy_v1;0.75;12;False;-1;0.0
graph_18_0.5.gml;18;76;0.5;greedy_v1;0.125;2;True;(63, 50):(41, 72);0.0
graph_18_0.5.gml;18;76;0.5;greedy_v1;0.25;4;True;(63, 50):(72, 79):(41, 72):(84, 31);0.0
graph_18_0.5.gml;18;76;0.5;greedy_v1;0.5;9;False;-1;0.0
graph_18_0.5.gml;18;76;0.5;greedy_v1;0.75;13;False;-1;0.0
graph_18_0.25.gml;18;38;0.25;greedy_v1;0.125;2;True;(63, 50):(41, 72);0.0010008811950683594
graph_18_0.25.gml;18;38;0.25;greedy_v1;0.25;4;True;(63, 50):(84, 31):(41, 72):(1, 100);0.0
graph_18_0.25.gml;18;38;0.25;greedy_v1;0.5;9;False;-1;0.0
graph_18_0.25.gml;18;38;0.25;greedy_v1;0.75;13;False;-1;0.0
graph_18_0.75.gml;18;114;0.75;greedy_v1;0.125;2;True;(41, 72):(1, 100);0.0
graph_18_0.75.gml;18;114;0.75;greedy_v1;0.25;4;False;-1;0.0
graph_18_0.75.gml;18;114;0.75;greedy_v1;0.5;9;False;-1;0.0010395050048828125
graph_18_0.75.gml;18;114;0.75;greedy_v1;0.75;13;False;-1;0.0
graph_18_0.125.gml;18;19;0.125;greedy_v1;0.125;2;True;(11, 68):(41, 72);0.0
graph_18_0.125.gml;18;19;0.125;greedy_v1;0.25;4;True;(11, 68):(33, 37):(41, 72):(99, 58);0.0009667873382568359
graph_18_0.125.gml;18;19;0.125;greedy_v1;0.5;9;True;(11, 68):(41, 72):(99, 58):(13, 46):(1, 29):(33, 37):(1, 100):(27, 93):(84, 31);0.0
graph_18_0.125.gml;18;19;0.125;greedy_v1;0.75;13;False;-1;0.0
graph_19_0.5.gml;19;85;0.5;greedy_v1;0.125;2;True;(41, 72):(1, 100);0.0009636878967285156
graph_19_0.5.gml;19;85;0.5;greedy_v1;0.25;4;True;(11, 68):(41, 72):(1, 100):(99, 58);0.0
graph_19_0.5.gml;19;85;0.5;greedy_v1;0.5;9;False;-1;0.0
graph_19_0.5.gml;19;85;0.5;greedy_v1;0.75;14;False;-1;0.0
graph_19_0.25.gml;19;42;0.25;greedy_v1;0.125;2;True;(99, 95):(41, 72);0.0
graph_19_0.25.gml;19;42;0.25;greedy_v1;0.25;4;True;(11, 68):(99, 95):(41, 72):(30, 2);0.0
graph_19_0.25.gml;19;42;0.25;greedy_v1;0.5;9;False;-1;0.0
graph_19_0.25.gml;19;42;0.25;greedy_v1;0.75;14;False;-1;0.0009999275207519531
graph_19_0.75.gml;19;128;0.75;greedy_v1;0.125;2;True;(99, 58):(1, 100);0.0
graph_19_0.75.gml;19;128;0.75;greedy_v1;0.25;4;False;-1;0.0
graph_19_0.75.gml;19;128;0.75;greedy_v1;0.5;9;False;-1;0.0
graph_19_0.75.gml;19;128;0.75;greedy_v1;0.75;14;False;-1;0.0
graph_19_0.125.gml;19;21;0.125;greedy_v1;0.125;2;True;(99, 58):(13, 46);0.0009970664978027344
graph_19_0.125.gml;19;21;0.125;greedy_v1;0.25;4;True;(63, 50):(41, 72):(99, 58):(13, 46);0.0
graph_19_0.125.gml;19;21;0.125;greedy_v1;0.5;9;True;(11, 68):(41, 72):(99, 58):(13, 46):(63, 50):(99, 95):(84, 31):(64, 8):(30, 2);0.0
graph_19_0.125.gml;19;21;0.125;greedy_v1;0.75;14;False;-1;0.0
graph_20_0.5.gml;20;95;0.5;greedy_v1;0.125;2;True;(64, 8):(13, 46);0.0009970664978027344
graph_20_0.5.gml;20;95;0.5;greedy_v1;0.25;5;True;(99, 58):(13, 46):(63, 50):(1, 100):(64, 8);0.0
graph_20_0.5.gml;20;95;0.5;greedy_v1;0.5;10;False;-1;0.0
graph_20_0.5.gml;20;95;0.5;greedy_v1;0.75;15;False;-1;0.0
graph_20_0.25.gml;20;47;0.25;greedy_v1;0.125;2;True;(27, 93):(64, 8);0.0009999275207519531
graph_20_0.25.gml;20;47;0.25;greedy_v1;0.25;5;True;(99, 58):(13, 46):(27, 93):(64, 8):(30, 2);0.0
graph_20_0.25.gml;20;47;0.25;greedy_v1;0.5;10;False;-1;0.0
graph_20_0.25.gml;20;47;0.25;greedy_v1;0.75;15;False;-1;0.0
graph_20_0.75.gml;20;142;0.75;greedy_v1;0.125;2;True;(3, 1):(64, 8);0.0009999275207519531
graph_20_0.75.gml;20;142;0.75;greedy_v1;0.25;5;False;-1;0.0010004043579101562
graph_20_0.75.gml;20;142;0.75;greedy_v1;0.5;10;False;-1;0.0
graph_20_0.75.gml;20;142;0.75;greedy_v1;0.75;15;False;-1;0.0
graph_20_0.125.gml;20;23;0.125;greedy_v1;0.125;2;True;(11, 68):(30, 2);0.0
graph_20_0.125.gml;20;23;0.125;greedy_v1;0.25;5;True;(11, 68):(99, 58):(30, 2):(84, 31):(64, 8);0.0
graph_20_0.125.gml;20;23;0.125;greedy_v1;0.5;10;False;-1;0.0
graph_20_0.125.gml;20;23;0.125;greedy_v1;0.75;15;False;-1;0.0
graph_21_0.5.gml;21;105;0.5;greedy_v1;0.125;2;True;(1, 29):(41, 72);0.0
graph_21_0.5.gml;21;105;0.5;greedy_v1;0.25;5;False;-1;0.0
graph_21_0.5.gml;21;105;0.5;greedy_v1;0.5;10;False;-1;0.0
graph_21_0.5.gml;21;105;0.5;greedy_v1;0.75;15;False;-1;0.0010008811950683594
graph_21_0.25.gml;21;52;0.25;greedy_v1;0.125;2;True;(11, 68):(1, 29);0.0009996891021728516
graph_21_0.25.gml;21;52;0.25;greedy_v1;0.25;5;True;(11, 68):(99, 95):(13, 46):(1, 29):(84, 31);0.0
graph_21_0.25.gml;21;52;0.25;greedy_v1;0.5;10;False;-1;0.0
graph_21_0.25.gml;21;52;0.25;greedy_v1;0.75;15;False;-1;0.0
graph_21_0.75.gml;21;157;0.75;greedy_v1;0.125;2;True;(41, 72):(64, 8);0.0009987354278564453
graph_21_0.75.gml;21;157;0.75;greedy_v1;0.25;5;False;-1;0.0009999275207519531
graph_21_0.75.gml;21;157;0.75;greedy_v1;0.5;10;False;-1;0.0
graph_21_0.75.gml;21;157;0.75;greedy_v1;0.75;15;False;-1;0.0
graph_21_0.125.gml;21;26;0.125;greedy_v1;0.125;2;True;(11, 68):(30, 2);0.0
